post_shortcode,commenter_username,comment_text,comment_likes
DH8oOZEMz6w,camizard_,WHERE’S THE PRICE?!,2193
DH8oOZEMz6w,timm.lade,Yea i‘ll mod my switch,2
DH8oOZEMz6w,orion_488,,47
DH8oOZEMz6w,walmart,busy on 6/5 don’t text,121
DH8oOZEMz6w,mr.zuzi4,When is the pre order?,0
DH8oOZEMz6w,jeanca64091,Drop the price,1
DH8oOZEMz6w,alexsampson,I know what I’m doing all summer,43
DH8oOZEMz6w,meowlove.world,Feels like Mimi & Mumu would live right next to Isabella:paw_prints::deciduous_tree:,3
DH8oOZEMz6w,jjou1,Drop the price!!!!,3
DH8oOZEMz6w,aleonthestreet,Drop the price,3
DH8oOZEMz6w,willyondrums,Drop the price!!!,3
DH8oOZEMz6w,_fer_98_,Drop the price,4
DH8oOZEMz6w,maximegai,drop yours prices please.,4
DH8oOZEMz6w,majorcornflakes,DROP THE PRICE,4
DH8oOZEMz6w,uh_tripp_4000,DROP THE PRICES,3
DH8oOZEMz6w,minauran324,,3
DH8oOZEMz6w,hicierce,DROP THE PRICES,4
DH8oOZEMz6w,justiceforkrisfe,A new console won't erase the betrayal,0
DH8oOZEMz6w,jnunes.r1,DROP THE PRICES,2
DH8oOZEMz6w,lordoftheringletz,Nintend-no.,2
DH8oOZEMz6w,hugo_lols,Time to pirate,2
DH8oOZEMz6w,4drnn_,DROP THE PRICES,2
DH8oOZEMz6w,martos9,Drop the price,3
DH8oOZEMz6w,nightndfx,Drop the prices,2
DH8oOZEMz6w,zelominkk,Drop the price,2
DH8oOZEMz6w,nab0ngz,very disappointed in this company I’m not buying nintendo in the future,1
DH8oOZEMz6w,just_fyantastic,Drop the prices,2
DH8oOZEMz6w,might_be_earlando,Drop that price,2
DH8oOZEMz6w,armandoalcantara,Drop the prices or :skull:,3
DH8oOZEMz6w,dorel2o,Bruh you added nothing,3
DH8oOZEMz6w,eclaireux,"Drop the price, put games in the cartridges",3
DH8oOZEMz6w,emanuelhoracio63,Drop the Price,4
DH8oOZEMz6w,lilartla,Garbage… this company is just getting greedier over time. Recycled titles and poor performance/specs. No wonder why my switch is collecting dust on the shelf.,21
DH8oOZEMz6w,slypxv1,Don’t buy the switch 2 #boycott,18
DH8oOZEMz6w,plaicnhko,"The entire pricing concept of the Nintendo Switch 2 is unattractive.
Contrary to most opinions, the console itself is too expensive—especially considering what it can’t do compared to other handhelds like the Steam Deck. A maximum of €400 would’ve been reasonable. Instead, we already have outdated hardware again that won’t be able to run next-gen games.

Then: The C button on the console costs extra — EXCUSE ME?
What you get is a video chat feature that feels like it’s from 1998. If they add a printer next, we’ll finally have the successor to the Game Boy Camera and Printer.
Do we at least have drift-free sticks this time?
Another thick display bezel? That’s just not state of the art.
No improvements in ergonomics. What’s the point of a thinner console? No one cares about that with the Steam Deck because it’s more comfortable to hold.
Backwards compatibility for Switch games is tied to a paid patch for €20 each — if there’s even one available. You can’t just play Switch 1 games out of the box.
I’ve got tons of digital games I can’t even access without a Switch Why on earth should Mario Kart cost €90? Who’s going to convince me that this game is more complex than a Forza Horizon?
Why should any Nintendo game be worth more than €60 — apart from a few rare exceptions?
A Pro Controller for €90???
A 460p camera for €60???

Once again, you need to buy tons of expensive accessories just to get the gaming experience other platforms give you from day one.

What we’re seeing here is a corporation that can’t get enough and now wants to dig even deeper into the pockets of loyal customers. I’m completely out unless Nintendo makes a U-turn here.

And as consumers, we have the power. Don’t let yourselves get ripped off, folks.",35
DH8oOZEMz6w,latinocringe101,Imma have to sell my kidneys for this one:face_vomiting::face_vomiting:,2
DH8oOZEMz6w,no4h.cmpr,No one is paying this shi,2
DH8oOZEMz6w,blxckjezus,$90 for physical copies :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:. With tax that 100 F%% DOLLARS. You guy lost yall minds,2
DH8oOZEMz6w,choctopus,INSANE DIRECT,206
DH8oOZEMz6w,sidnotw,r we day 1 pre ordering or what @telvindersingh,1
DH8oOZEMz6w,thecabalcult,When is the NEW pre-order date???,1
DH8oOZEMz6w,cfierro.18cm,Now with tariffs do not increase the price! :loudly_crying_face:,0
DH8oOZEMz6w,ali8_1634,Do you know that dropping the prices will reduce the piracy more than it is for your games ? Cmon drop the prices,1
DH8oOZEMz6w,srtovarela,the games are very expensive :thumbs_down_medium_skin_tone::thumbs_down_medium_skin_tone:,1
DH8oOZEMz6w,nolynolegs,Drop the prices,1
DH8oOZEMz6w,kaitron45,Drop the price,1
DH8oOZEMz6w,alex_mackenzie934,Either going to jail break it or buy a steam deck. 90$ for a Mario download......disgusting,4
DH8oOZEMz6w,haileyb_k,90 for games not to mention price of the console when the first switch barely works at this point I hope Nintendo just shuts down,1
DH8oOZEMz6w,turisteando_por_ahi_,Not buying it,1
DH8oOZEMz6w,turisteando_por_ahi_,,1
DH8oOZEMz6w,turisteando_por_ahi_,,1
DH8oOZEMz6w,kristian_1090,Drop the price:clown_face:,0
DH8oOZEMz6w,bibblesupremacy,"if the console is over $450 and games are over $60, i will not be purchasing. you guys better think long and hard about attempting to extort more money out of your customers. many of us will not purchase a single thing if you raise prices",1
DH8oOZEMz6w,adam343117,"Nintendo I am so excited for this next generation of gaming with you but $90 for a physical game that I don't even own is ridiculous, we are your fans, we want to support you and continue supporting great games, but this is not a respectable way to treat your fans",1
DH8oOZEMz6w,krisdeltarunexd,DTOP,0
DH8oOZEMz6w,krisdeltarunexd,DROP THEM PRICES,1
DH8oOZEMz6w,jacob.39414,Drop the price… only then people will cross over and buy,1
DH8oOZEMz6w,sou.pwizard,BOYCOTT NINTENDO,0
DH8oOZEMz6w,serious_rash_89,Drop the price :fire:,0
DH8oOZEMz6w,a.niruddha,DROP THE PRICE,1
DH8oOZEMz6w,oscarhall2007,Lower the prices,1
DH8oOZEMz6w,sawyerhoust,Drop the price!!,1
DH8oOZEMz6w,romi_____peles,"The tiny controllers ruined everything 
Maybe someday you will realize to bring back a normal modern real Super Nintendo with real controls people can play in
Tiny controls ruined everything maybe someday u will understand",1
DH8oOZEMz6w,e_v.hutch,Drop the price,1
DH8oOZEMz6w,cal.bizniss,I will not be buying the switch 2 at this price button ----->,1
DH8oOZEMz6w,headstronglalo,Drop the price,1
DH8oOZEMz6w,butterpanda26,after the tariff the price is probably gonna rise. they need to just let us americans preorder the system or something,0
DH8oOZEMz6w,uwu.o0,drop the price,1
DH8oOZEMz6w,justin.salazar.5876,DROP THE PRICES,1
DH8oOZEMz6w,godzilla_tamer2002,DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE @nintendoamerica,0
DH8oOZEMz6w,dylan_rayner7,Drop the price,1
DH8oOZEMz6w,allieinwonderland54,I’ve been team Nintendo ever since I was able to hold a controller. I can’t believe these prices. They leave a sour taste. It’s making the world of Nintendo unattainable for most of the fans who have been there through it all. :enraged_face:,1
DH8oOZEMz6w,godzilla_tamer2002,#droptheprice,1
DH8oOZEMz6w,onighoste,"I just want to be able to afford it to support you, that's really it",0
DH8oOZEMz6w,http.emilygracee,greed,1
DH8oOZEMz6w,skep_wz,Boycott Nintendo!!!,0
DH8oOZEMz6w,lguttto,DROP THE PRICES @nintendoamerica @nintendo_jp @nintendo_brasil,0
DH8oOZEMz6w,shesaiddillan,We here for bloodborne 2 basically,0
DH8oOZEMz6w,adritchie86,Not upset about the base price but damn you Donald Trump.,0
DH8oOZEMz6w,briitttany.rogers,Trashhhhh 80$ games. Never.,0
DH8oOZEMz6w,trailswiththom,Absolutely not.  Steam Deck it is.,0
DH8oOZEMz6w,nrodriguez_m,DROP THE PRICE,12
DH8oOZEMz6w,kenny_hernandez_05,,0
DH8oOZEMz6w,kenny_hernandez_05,,0
DH8oOZEMz6w,danidagirl,"DROP THE PRICE!!! I still think the console price is too high because it's not that different, but the price for games is out of control!",16
DH8oOZEMz6w,devinmcl_86,Free Gary Bowser,0
DH8oOZEMz6w,stuff4geekz,Nintendo's downfall. ##BoycottNintendo,2
DH8oOZEMz6w,nicholasvidal8,Dear Nintendo i am  biggest fan i love  Playing games on my Nintendo Switch console  we are excited for Nintendo Switch 2  this year.,0
DH8oOZEMz6w,robertpaulduggan,Everyone including I hates your prices for this change it,2
DH8oOZEMz6w,perryvallentino,Please bring back GameCube console with online servers…,0
DH8oOZEMz6w,hicierce,DROP THE PRICES THIS IS NOW HOW YOU TREAT YOUR LIFE LONG FANS,3
DH8oOZEMz6w,beck_keaton,The console is fine with the price since it is a huge upgrade tbh. But Mario kart being 80 bucks…wtf. Don’t get me wrong Nintendo games are quality when they’re put out but it’s not like it’s a new Mario Galaxy or mainline Zelda c’mon,1
DH8oOZEMz6w,funko_dragon,Sending hate from Ohio,0
DH8oOZEMz6w,alv_dood,:face_exhaling::face_vomiting:,0
DH8oOZEMz6w,kisigma,All original switch 1 games better be 60fps - 120fp hz refresh rate i was disappointing hearing paper mario thousand year-door locked at 30fp completey! :pensive_face:,1
DH8oOZEMz6w,y0ukn0wm334,So uhhh -gulp- how much is it?,0
DH8oOZEMz6w,igor_luizsilva,Vende baixo nengue!,0
DH8oOZEMz6w,pabloochicago,First off not only drop the prices but what about the people that just bought the oled”s this and last year it’s a big slap in the face to people that still support this brand that barely comes out with anything good now…we should be able to hand in our oled”s for the at least the basic trade in value for one of these man .. we can’t even play nostalgic things like simpsons hit and run Buffy the vs ninja. G etc I don’t see them lasting long I think I’m going back to ps5. Tried but this this is wild right here .,1
DH8oOZEMz6w,peterlpusa,"Don't lie Nintendo, nobody here agrees with the current prices, this thing you did against your customers will destroy your industry, too expensive.",1
DH8oOZEMz6w,vicentcotaina,Drop the price :skull:,0
DH8oOZEMz6w,hd.23,"I’m a massive Pokémon fan been about since colosseum and they used to really feel like a family company. I played every mainline game and still doing it to this day collecting and playing.

However pokemon and Nintendo are coming so greedy. I don’t see how they will keep going as once our generation goes they won’t be able to convince their parents to buy a Nintendo at 400. We grew up on Nintendo cause it was affordable. 

Nothing to do with tariffs just greed",0
DH8oOZEMz6w,claudialashley,Will we get a new animal crossing??,0
DH8oOZEMz6w,mic_ann100,I used to love my switch but now I hardly pick it up because the games are just too expensive. Glad I built a pc,6
DH8oOZEMz6w,humble_x_wraith,Please make an official Nintendo video informing g buyers about tariffs in the United States please. Nobody understands that it’s not your fault about the price. I think people really need to hear it from yall and not the fake news. I’m begging you guys please make an informative video to educate Americans,0
DH8oOZEMz6w,dlegendarycorby,"SCUMBAG NINTENDO.
#BOYCOTTNINTENDO",0
DH8oOZEMz6w,waleedthawadi,"Looks good, but, You are losing a lot money in not providing Arabic language and Arabian store, you should respect this region and advertise more for them. PS5 is the king console in Middle East because it supports Arabic and make games offers for them.",0
DH8oOZEMz6w,hgsully,Saw the prices and bought a steam deck instead,8
DH8oOZEMz6w,hopeful_muslim,"As a Middle Easterner, I wanted to bring to your attention that not having Arabic language support and an Arabic store is resulting in significant lost revenue. You should consider recognizing the importance of this region and advertising your products more to them. The PS5 is the top console in the Middle East due to its support for Arabic and regional game offerings.",0
DH8oOZEMz6w,078_joeyy,DROP THE PRICE:skull:,0
DH8oOZEMz6w,alexandrealmeidaaa,"Make a new Diddy Kong Racing, it's a wonderful game!",0
DH8oOZEMz6w,kei._.ci,"Nintendo incorporating handheld, on-the-go consoles on top of living room gaming, I can understand the price of the console. But the games being over $110 AUD is not okay. :oncoming_fist::pensive_face:",0
DH8oOZEMz6w,emme75on,Delaying pre orders. Booo. The cost of a switch 2 is already insane @nintendoamerica,0
DH8oOZEMz6w,b4nka.kuta,CAN WE PLEASE GET A NEW VERSION OF MARIO 64 AND MARIO SUNSHINE PLEASEEEEEEEE,0
DH8oOZEMz6w,denidiemausi,DROP THE PRICES :loudly_crying_face: ITS INFLATION U GREEDY COMPANY,0
DH8oOZEMz6w,the.comment.that.made.you.cry,DROP THE PRICE AND EJECT TRUMP FROM OFFICE! THAT WEETARD HAS ALWAYS BEEN UNFIT TO RUN A NATION,0
DH8oOZEMz6w,thejohnsauce,Y’all announced pre orders and then took them away cause of tariffs Nintendo isn’t even paying,0
DH8oOZEMz6w,the_real_subaru,Well:nose: Well:nose: Well:nose:,2
DH8oOZEMz6w,kentheshorterboy36,:middle_finger_medium_skin_tone: YOU NINTENDO.,0
DH8oOZEMz6w,scvrlet63,"Nobody hates their own fans more than Nintendo :face_with_tears_of_joy: Won't port over old games people are willing to PAY FOR TO PLAY (old Pokémon games are a huge example), yet they HATE when people use emulators or illegal means of playing those games (the only way to play these games if you don't own an original copy). They sue over the most minor instances regarding their IPs, forces removal of fun mods (Garrys mod), shutting down tournaments, striking YouTubers and streamers for playing their products. Nobody hates their own fans more than Nintendo. This company has been evil. This price hike just opened the flood gates for other companies to follow suit and drive up prices. Nintendo is and has been evil and out of touch for years now.",2
DH8oOZEMz6w,sir_yesz13,Nintendo don't listen to these whiny liberals,0
DH8oOZEMz6w,legendary_side_ngga_,They want us all to dumpster diving to buy their new :pile_of_poo:y phone,0
DH8oOZEMz6w,theforgottenturtler,,0
DH8oOZEMz6w,theforgottenturtler,REMEMBER PEARL HARBOR AND NANJING MASSACRE,0
DH8oOZEMz6w,pr_techguy,@nintendoamerica Don't bring it to the US while these tariffs are in place. Just don't... Make a statement... I support this decision...,0
DH8oOZEMz6w,felipeuckert,:clapping_hands:,0
DH8oOZEMz6w,deathly_deliciousness,"Guys seriously stop wasting your time with the comments yes Nintendo has lost there mind BUT speak with your wallets and NOT you’re time , just don’t buy @nintendoamerica",7
DH8oOZEMz6w,seussthaalphamc,:fire::fire::fire::fire::fire::fire::fire::fire::fire:,0
DH8oOZEMz6w,jessextrada,,0
DH8oOZEMz6w,cool_dude_art_55,Well well well,0
DH8oOZEMz6w,julianyavery,Lower the price for games!!!,0
DH8oOZEMz6w,bardixthestoryteller,"And that's why i'm such a nitendo's fan. They make their game so funny, creative and beautiful!:smiling_face_with_heart-eyes: I prefer to have this game console than a playstation where they make more violent and sexual games then nintendo.:skull:",0
DH8oOZEMz6w,_not_really_ryan_,Drop the prices for people that didn't vote for that orange moron,0
DH8oOZEMz6w,jaxon.parnell,"literally a ps5 and xbox series x are cheaper than a switch 2, and if you want a handheld, get a steamdeck, so much better. A$120 for a game is insane",2
DH8oOZEMz6w,p.ixel_up,Drop the Price :fire:,0
DH8oOZEMz6w,koraymasagastume,splatoon3 concert 2025:folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::growing_heart::growing_heart::smiling_face_with_hearts::smiling_face_with_hearts::heart_exclamation::heart_exclamation::heart_with_arrow::revolving_hearts::beating_heart::pink_heart::heart_with_ribbon::red_heart::two_hearts::two_hearts::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::two_hearts::red_heart::pink_heart::beating_heart::revolving_hearts::heart_with_arrow::growing_heart::growing_heart::smiling_face_with_hearts::smiling_face_with_hearts::heart_exclamation::heart_exclamation::heart_with_arrow::revolving_hearts::revolving_hearts::beating_heart::pink_heart::heart_with_ribbon::red_heart::two_hearts::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:,1
DH8oOZEMz6w,the_gonzook,I curse those who voted for Donald Trump,0
DH8oOZEMz6w,somerandomguy.212,"Lower that damn price, not just in the Americas, but also in the EU",0
DH8oOZEMz6w,_talfred2_,Drop the price. Have fun with the only sales being dumbasses or creators so they can talk about how shit it is.,0
DH8oOZEMz6w,cagnojack,"What would Satoru Iwata think of the current Nintendo? You ruined a symbol, your own world that you had created from nothing… #imissnintendo",0
DH8oOZEMz6w,faoguitar,Price BRAZIL... :loudly_crying_face::loudly_crying_face::loudly_crying_face:,0
DH8oOZEMz6w,faoguitar,Drop the prices!! BRASIL!!,0
DH8oOZEMz6w,_.sp_official._,80$ for mario kart is crazy lmao,0
DH8oOZEMz6w,jp.henriques_,Drop the price!!!,0
DH8oOZEMz6w,rock12insta,"We Got Nintendo Switch 2
Before GTA 6… :skull:",0
DH8oOZEMz6w,cristh1709,Not only is the price to high but you won't even own the game also :loudly_crying_face: Nintendo is being greedy,0
DH8oOZEMz6w,landon_username_,The switch is Nintendos lamest console imo,0
DH8oOZEMz6w,baylordavis23,"I’m just getting a Steam Deck at this point. Charging $90 for physical games is ridiculous, not to mention charging for a tech demo and a half-baked online service.",3
DH8oOZEMz6w,czaxh2112,Buy the games used everyone. Instead of giving into the higher prices. We all would do this the game prices would drop.,0
DH8oOZEMz6w,uaimiranha,Drop  the price,0
DH8oOZEMz6w,trvnsgenic,Drop the price,0
DH8oOZEMz6w,generallyagamer,Drop the Price,0
DH8oOZEMz6w,alex.incorporated,Would be a lot more excited if I could afford any of the damn games,0
DH8oOZEMz6w,ivanmillan56301,180 for 2 games? I don't know :skull::skull:,0
DH8oOZEMz6w,generallyagamer,,0
DH8oOZEMz6w,bladeandbyte,Comes out on my birthday @nintendoamerica y’all gonna gift me it :face_with_tears_of_joy:,0
DH8oOZEMz6w,generallyagamer,No one's even talking about how scummy it is to put the new chat feature behind a Subscription paywall when the Switch has no social features to begin with. We lost Picto chat and the Mii Plaza for a zoom chat with no features,0
DH8oOZEMz6w,heatherz_artz,Drop the price this is ridiculous! This will set a horrible president! #droptheprice #nintendoboycott #boycottnintendo,0
DH8oOZEMz6w,flaviocosta3460,Mercenary,0
DH8oOZEMz6w,smashysmashyeggguy,"But why charge for a ""Game"" that explains how to use this ""new console""? Wii Sports was free and is ONE OF THE TOP SELLING GAMES FOR THE WII!",0
DH8oOZEMz6w,smashysmashyeggguy,Only reason you're charging so much for so little is to make up for all those garbage dollar store ahh games you med for the wii and wii u,0
DH8oOZEMz6w,jahpipovault,https://pin.it/1l8fzFJ8C,0
DH8oOZEMz6w,vnclelupe,.. #ForestAvenue x #MarioStrikers ..,0
DH8oOZEMz6w,roy.__.tadeo,Drope the price,0
DH8oOZEMz6w,ar1el_9,DROP THE PRICES!!!,0
DH8oOZEMz6w,itscalebwest,Drop the price,0
DH8oOZEMz6w,mikeruonline,"Lower the damn price, that's genuinely insane",0
DH8oOZEMz6w,mrfutursticgraff_,,0
DH8oOZEMz6w,mrfutursticgraff_,HUWERRYY UP AND BUY :face_with_tears_of_joy:,0
DH8oOZEMz6w,daescastros,Drop the price,0
DH8oOZEMz6w,_armen_kocharyan,,0
DH8oOZEMz6w,hechss,"Even if you have the money: DON'T BUY! Gamers must send a clear message. We won't accept 90 € games, or even worse, 80 € for decades old games. This console reveal must be revamped as the Xbox One was",3
DH8oOZEMz6w,enzo_insta_the_bear,"How retarded are you? 80 dollars for Zelda, and it cost 60 at launch. Are you trying to rip us off, you crooks? I hope no one buys it.",0
DH8oOZEMz6w,odsledgren,"NO OLED SCREEN , LESS LIFE TIME ON BATTERY AND MICRO SD EXPRESS CARDS?????

How is that an upgrade ?",29
DH8oOZEMz6w,searingdrake,Drop the price,0
DH8oOZEMz6w,jeezaz9515,"Nope, drop the prices. You’re not getting my money. Steam has so many better deals.",5
DH8oOZEMz6w,wenhamryan,Anyone going to announce that they’ve delayed Canadas pre order scheduled now too? May 8th on their website? Where’s the notifications,0
DH8oOZEMz6w,badnewsbonus,Drop the price!,0
DH8oOZEMz6w,dan_cattell_art,"Considering who is to blame, maybe ditch the Twitter account finally?",0
DH8oOZEMz6w,doc_cybertooth,:pirate_flag:,0
DH8oOZEMz6w,lil_faybii,Drop the prices!!!,0
DH8oOZEMz6w,bouldetax,DROP THE PRICE !,0
DH8oOZEMz6w,awscaranha,That’s crazy that the prices are pre-tariffs :loudly_crying_face:,0
DH8oOZEMz6w,mizael.buquer99,Drop The price,0
DH8oOZEMz6w,danife93,Bajen los precios.,0
DH8oOZEMz6w,a.orozco9801,Drop the price,0
DH8oOZEMz6w,kennytu_,Imagine asking consumers to pay $90 for 1 physical game. The price of two physical games now is the price of 3 games not even a year or two ago. This is totally uncalled for.,0
DH8oOZEMz6w,gerardo.ortizbolio,DROP THE PRICES YOU GREEDY CORPOS,0
DH8oOZEMz6w,happy.vuongdang,Great job losing a customer.,0
DH8oOZEMz6w,xxtrustfallxx,You guys are actually crooks.,0
DH8oOZEMz6w,luminer2,"Paying for the Zelda Switch 2 edition just to unlock the FPS is so shady. Those updates should be free. I understand paying for extra content, but the Zelda ones don’t add anything new",0
DH8oOZEMz6w,etsodiansb,DROP THE PRICES,0
DH8oOZEMz6w,jon_delonng,Drop the price. You are destroying iwata legacy,0
DH8oOZEMz6w,joaopedro.louro.1,A bundle of console + game without the physical copy of the game is an absolute abomination. Please throw into the market a bundle with physical copy until June.,0
DH8oOZEMz6w,ray.debolt,I can tell there's going to be a scalping like thing similar to the ps5. And of course there's going to be techrex style videos of people breaking them and smashing them,0
DH8oOZEMz6w,schuyler.heldoorn,Drop the price,0
DH8oOZEMz6w,random_disclamor,Y’all fumbled with these prices :face_with_tears_of_joy:,0
DH8oOZEMz6w,thiaagoovieira,Drop the price,0
DH8oOZEMz6w,equilibrart_,#droptheprice,0
DH8oOZEMz6w,equilibrart_,"Nintendo: switch 2 at 450 dollaras
Trump: no, will at 600 dollars 
Karma for nintendo abuse :loudly_crying_face:",0
DH8oOZEMz6w,adri.igr,Drop the price,0
DH8oOZEMz6w,_.pimp.in.distress._,"""But adjusted with inflation, the console and games are reasonable..."" That was back when Nintendo didn't already have a billion dollar identity, countless merch and animated deals. They don't NEED this money. They WANT it. They can still do astronomically well if they stuck with prices of last gen. Tired of people defending a corporation, like it actually cares about them.",11
DH8oOZEMz6w,marcelo.maximino.9,Drop the price,0
